Server_Name	Storage_Device	Storage_Vol(GB)	Source	Tier
RETDAYESX018	XIV_7820520	181.527	svcmbge01v	T1
RETDAYESX020	XIV_6050013	4267.491	svcmbge01v	T1
RETDAYESX020	XIV_7820520	181.527	svcmbge01v	T1
RETDAYESX060	XIV_6050008	1000.000	svcmbge01v	T1
RETDAYESX061	XIV_6050008	1000.000	svcmbge01v	T1
RETDAYESX097	VNX_APM00125172990-FAST	998.400	svcmbge01v	T2
RETDAYESX098	VNX_APM00125172990-FAST	998.400	svcmbge01v	T2
RETDAYESX100	XIV_7820520	4156.480	svcmbge01v	T1
RETDAYESX101	XIV_7820520	4156.480	svcmbge01v	T1
RETDAYESX102	XIV_7820520	4156.480	svcmbge01v	T1
RETDAYESX111	XIV_6050013	249.600	svcmbge01v	T1
RETDAYESX111	XIV_7820520	798.720	svcmbge01v	T1
RETDAYESX113	XIV_6050013	249.600	svcmbge01v	T1
RETDAYESX113	XIV_7820520	798.720	svcmbge01v	T1
RETDAYESX114	XIV_6050013	249.600	svcmbge01v	T1
RETDAYESX114	XIV_7820520	798.720	svcmbge01v	T1
RETDAYESX116	XIV_6050013	249.600	svcmbge01v	T1
RETDAYESX116	XIV_7820520	798.720	svcmbge01v	T1
RETDAYESX117	XIV_6050013	249.600	svcmbge01v	T1
RETDAYESX117	XIV_7820520	798.720	svcmbge01v	T1
RETDAYESX131	XIV_6050008	1038.336	svcmbge01v	T1
RETDAYESX131	XIV_7820623	665.600	svcmbge01v	T1
RETDAYESX131	XIV_6050013	249.600	svcmbge01v	T1
RETDAYESX132	XIV_6050008	1038.336	svcmbge01v	T1
RETDAYESX132	XIV_7820623	665.600	svcmbge01v	T1
RETDAYESX132	XIV_6050013	249.600	svcmbge01v	T1
RETDAYESX133	XIV_6050008	1038.336	svcmbge01v	T1
RETDAYESX133	XIV_7820623	665.600	svcmbge01v	T1
RETDAYESX133	XIV_6050013	249.600	svcmbge01v	T1
RETDAYESX134	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX134	XIV_6050008	1363.186	svcmbge01v	T1
RETDAYESX134	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX134	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX135	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX135	XIV_6050008	1363.186	svcmbge01v	T1
RETDAYESX135	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX135	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX136	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX136	XIV_6050008	1363.186	svcmbge01v	T1
RETDAYESX136	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX136	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX137	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX137	XIV_6050008	1363.186	svcmbge01v	T1
RETDAYESX137	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX137	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX138	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX138	XIV_6050008	1363.186	svcmbge01v	T1
RETDAYESX138	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX138	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX139	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX139	XIV_6050008	1363.186	svcmbge01v	T1
RETDAYESX139	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX139	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX140	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX140	XIV_6050008	1363.186	svcmbge01v	T1
RETDAYESX140	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX140	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX141	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX141	XIV_6050008	1220.329	svcmbge01v	T1
RETDAYESX141	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX141	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX142	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX142	XIV_6050008	1220.329	svcmbge01v	T1
RETDAYESX142	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX142	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX143	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX143	XIV_6050008	1220.329	svcmbge01v	T1
RETDAYESX143	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX143	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX144	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX144	XIV_6050008	1220.329	svcmbge01v	T1
RETDAYESX144	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX144	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX145	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX145	XIV_6050008	1220.329	svcmbge01v	T1
RETDAYESX145	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX145	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX146	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX146	XIV_6050008	1220.329	svcmbge01v	T1
RETDAYESX146	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX146	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX150	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX150	XIV_6050008	1220.329	svcmbge01v	T1
RETDAYESX150	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX150	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX151	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX151	XIV_6050008	1220.329	svcmbge01v	T1
