Server_Name	Storage_Device	Storage_Vol(GB)	Source	Tier
RETSPRESX358	XIV_6050004	1770.109	svcspre01v	T1
RETSPRESX358	VMAX_192605755-FAST-POOL-1	1545.920	svcspre01v	T1
RETSPRESX358	VMAX_192605755-FAST-POOL-2	744.262	svcspre01v	T1
RETSPRESX385	XIV_6050025	1452.218	svcspre01v	T1
RETSPRESX385	VMAX_192605755-FAST-POOL-1	1545.920	svcspre01v	T1
RETSPRESX385	XIV_6050004	1770.109	svcspre01v	T1
RETSPRESX385	VMAX_192605755-FAST-POOL-2	744.262	svcspre01v	T1
RETSPRESX386	XIV_6050025	1452.218	svcspre01v	T1
RETSPRESX386	VMAX_192605755-FAST-POOL-1	1545.920	svcspre01v	T1
RETSPRESX386	XIV_6050004	1770.109	svcspre01v	T1
RETSPRESX386	VMAX_192605755-FAST-POOL-2	744.262	svcspre01v	T1
RETSPRESX455	XIV_7820523	499.200	svcspre01v	T1
RETSPRESX455	XIV_6050004	499.200	svcspre01v	T1
RETSPRESX456	XIV_7820523	499.200	svcspre01v	T1
RETSPRESX456	XIV_6050004	499.200	svcspre01v	T1
RETSPRESX457	XIV_7820523	499.200	svcspre01v	T1
RETSPRESX457	XIV_6050004	499.200	svcspre01v	T1
RETSPRESX458	XIV_7820523	499.200	svcspre01v	T1
RETSPRESX458	XIV_6050004	499.200	svcspre01v	T1
RETSPRESX471	XIV_6050004	499.200	svcspre01v	T1
RETSPRESX472	XIV_6050004	499.200	svcspre01v	T1
RETSPRESX473	XIV_6050004	499.200	svcspre01v	T1
RETSPRESX475	XIV_6050004	499.200	svcspre01v	T1
RETSPRESX481	VMAX_192605755-FAST-POOL-1	998.400	svcspre01v	T1
RETSPRESX482	VMAX_192605755-FAST-POOL-1	998.400	svcspre01v	T1
RETSPRESX710	XIV_6050025	1536.000	svcspre01v	T1
RETSPRESX711	XIV_6050025	1536.000	svcspre01v	T1
RETSPRESX811	XIV_6050025	5324.800	svcspre01v	T1
RETSPRESX811	XIV_7820523	10929.600	svcspre01v	T1
RETSPRESX811	XIV_6050004	200.000	svcspre01v	T1
RETSPRESX812	XIV_6050025	5324.800	svcspre01v	T1
RETSPRESX812	XIV_7820523	10929.600	svcspre01v	T1
RETSPRESX812	XIV_6050004	200.000	svcspre01v	T1
RETSPRESX813	XIV_6050025	5324.800	svcspre01v	T1
RETSPRESX813	XIV_7820523	10929.600	svcspre01v	T1
RETSPRESX813	XIV_6050004	200.000	svcspre01v	T1
RETSPRESX814	XIV_6050025	5324.800	svcspre01v	T1
RETSPRESX814	XIV_7820523	10929.600	svcspre01v	T1
RETSPRESX814	XIV_6050004	200.000	svcspre01v	T1
RETSPRESX815	XIV_6050025	5324.800	svcspre01v	T1
RETSPRESX815	XIV_7820523	10929.600	svcspre01v	T1
RETSPRESX815	XIV_6050004	200.000	svcspre01v	T1
SPBAKM66150	XIV_7820523	981.450	svcspre01v	T1
SPBAKMLB66160	XIV_7820523	1000.000	svcspre01v	T1
SPBAKMLB66170	XIV_7820523	1000.000	svcspre01v	T1
SPM6521	VMAX_192605755-FAST-POOL-1	785.160	svcspre01v	T1
T4-03-SP1	XIV_7820523	3532.000	svcspre01v	T1
